strategy,symbol,asset_class,period,bars,total_return_pct,cagr_pct,sharpe,sortino,calmar,max_drawdown_pct,max_dd_duration_days,volatility_ann_pct,var_95_pct,total_trades,win_rate,avg_win_pct,avg_loss_pct,profit_factor,expectancy_usd,avg_hold_hours,alpha_vs_spy_pct,info_ratio,commission_usd,cost_drag_pct
ma_cross_20_100,AAPL,EQUITY_US,2021-08-12 to 2026-08-13,1256,27.72,5.01,0.765,1.171,0.767,-6.54,563,6.7,0.0,21,0.619,7.71,-3.16,3.964,17847.23,2086.9,-8.91,-0.479,26395.61,2.64
ma_cross_20_100,MSFT,EQUITY_US,2021-08-12 to 2026-08-13,1256,30.2,5.42,0.417,0.886,0.719,-7.53,952,15.02,0.001,21,0.571,9.37,-4.75,2.63,16590.31,2086.9,-7.79,-0.339,26395.61,2.64
ma_cross_20_100,NVDA,EQUITY_US,2021-08-12 to 2026-08-12,1255,327.2,33.7,0.45,5.32,1.404,-24.0,1099,148.22,0.0,15,0.6,82.12,-10.6,11.618,225148.1,2920.0,52.75,0.353,18854.01,1.885
ma_cross_20_100,AMZN,EQUITY_US,2021-08-12 to 2026-08-12,1255,22.06,4.07,0.382,0.395,0.151,-26.92,1109,12.46,0.001,23,0.609,8.3,-7.31,1.767,10969.51,1885.6,-9.16,-0.436,28909.48,2.891
ma_cross_20_100,GOOGL,EQUITY_US,2021-08-12 to 2026-08-12,1255,59.69,9.81,0.57,0.989,0.509,-19.3,1008,19.39,0.0,19,0.632,13.91,-7.02,3.399,31009.13,2305.3,-2.87,-0.111,23881.75,2.388
ma_cross_20_100,META,EQUITY_US,2021-08-12 to 2026-08-12,1255,125.69,17.68,0.381,1.519,0.538,-32.85,1305,106.9,0.001,12,0.5,56.78,-14.92,3.805,104638.69,3650.0,26.77,0.247,15083.21,1.508
ma_cross_20_100,TSLA,EQUITY_US,2021-08-12 to 2026-08-12,1255,33.19,5.9,0.436,0.443,0.198,-29.83,1189,16.05,0.002,22,0.545,14.79,-12.73,1.394,11411.69,1963.6,-6.93,-0.297,27652.55,2.765
ma_cross_20_100,JPM,EQUITY_US,2021-08-12 to 2026-08-12,1255,42.04,7.27,0.508,1.008,0.558,-13.02,1159,16.07,0.0,17,0.706,12.14,-7.52,3.871,31768.73,2508.7,-5.76,-0.247,21367.88,2.137
ma_cross_20_100,RELIANCE.NS,EQUITY_IN,2021-08-12 to 2026-08-13,1240,14.39,2.72,0.546,0.639,0.927,-2.94,798,5.26,0.002,20,0.55,5.77,-3.87,1.822,7164.23,2191.2,0.0,0.0,31860.68,3.186
ma_cross_20_100,HDFCBANK.NS,EQUITY_IN,2021-08-12 to 2026-08-13,1240,10.32,1.98,0.363,0.283,0.253,-7.83,514,6.01,0.001,18,0.667,4.65,-8.61,1.079,1131.64,2434.7,0.0,0.0,28674.61,2.867
ma_cross_20_100,INFY.NS,EQUITY_IN,2021-08-12 to 2026-08-13,1240,-7.98,-1.65,-0.203,-0.149,-0.11,-14.93,1602,7.1,0.003,24,0.375,5.11,-4.71,0.651,-5130.48,1826.0,0.0,0.0,38232.82,3.823
ma_cross_20_100,TCS.NS,EQUITY_IN,2021-08-12 to 2026-08-13,1240,-15.03,-3.2,-0.428,-0.239,-0.131,-24.42,858,7.12,0.005,23,0.522,3.86,-6.25,0.674,-4881.68,1905.4,0.0,0.0,36639.78,3.664
ma_cross_20_100,SPY,ETF,2021-08-12 to 2026-08-13,1256,21.15,3.91,0.535,0.866,0.371,-10.53,1305,7.72,0.001,21,0.619,6.77,-3.34,3.293,14592.77,2086.9,-9.91,-0.523,36603.71,3.66
ma_cross_20_100,QQQ,ETF,2021-08-12 to 2026-08-12,1255,27.98,5.06,0.525,0.849,0.37,-13.68,1302,10.42,0.001,15,0.6,11.76,-5.0,3.53,25290.51,2920.0,-8.45,-0.413,26145.51,2.615
ma_cross_20_100,GLD,ETF,2021-08-12 to 2026-08-12,1255,64.77,10.5,0.467,4.886,3.52,-2.98,1278,27.2,0.0,10,0.6,23.82,-3.01,11.857,65425.96,4380.0,-1.2,-0.037,17430.34,1.743
ma_cross_20_100,TLT,ETF,2021-08-12 to 2026-08-12,1255,-24.76,-5.53,-0.815,-0.389,-0.223,-24.82,1719,6.72,0.0,22,0.409,2.12,-4.88,0.301,-10088.19,1990.9,-19.39,-1.057,38346.75,3.835
ma_cross_20_100,BTC-USD,CRYPTO,2021-08-14 to 2026-08-13,1826,49.7,8.41,0.322,0.363,0.221,-38.11,972,26.75,0.156,22,0.5,21.64,-13.08,1.655,21412.91,1982.2,0.0,0.0,43846.75,4.385
ma_cross_20_100,ETH-USD,CRYPTO,2021-08-14 to 2026-08-13,1826,23.55,4.32,0.23,0.24,0.12,-36.14,939,22.32,0.012,24,0.458,17.72,-14.64,1.024,944.48,1824.0,0.0,0.0,47832.82,4.783
ma_cross_20_100,EURUSD=X,FOREX,2021-08-12 to 2026-08-13,1301,-6.92,-1.42,-0.394,-0.24,-0.163,-8.74,1823,3.38,0.0,20,0.5,1.62,-2.43,0.667,-2023.96,2187.6,0.0,0.0,34860.68,3.486
ma_cross_20_100,GC=F,ETF,2021-08-12 to 2026-08-12,1257,66.98,10.8,0.472,6.242,5.064,-2.13,1253,27.57,0.005,10,0.5,29.02,-1.75,16.548,68167.05,4380.0,-0.87,-0.027,17430.34,1.743
ma_cross_20_100_short,AAPL,EQUITY_US,2021-08-12 to 2026-08-13,1256,121.7,17.25,0.813,1.629,0.847,-20.37,558,22.47,0.0,21,0.619,15.58,-5.82,4.489,74969.71,2086.9,4.22,0.147,70058.49,7.006
ma_cross_20_100_short,MSFT,EQUITY_US,2021-08-12 to 2026-08-13,1256,128.38,17.95,0.429,1.737,0.651,-27.59,829,68.68,0.001,21,0.571,18.9,-9.27,2.73,68430.33,2086.9,15.45,0.217,70058.49,7.006
ma_cross_20_100_short,NVDA,EQUITY_US,2021-08-12 to 2026-08-12,1255,1315.45,69.91,0.451,9.45,1.076,-64.97,1071,722.11,0.0,15,0.6,164.39,-20.85,11.893,903430.86,2920.0,311.84,0.432,49418.02,4.942
ma_cross_20_100_short,AMZN,EQUITY_US,2021-08-12 to 2026-08-12,1255,96.86,14.51,-0.438,-0.313,0.14,-103.4,1106,510.19,0.003,24,0.625,15.87,-14.46,1.816,44269.72,1825.0,-237.49,-0.466,80378.72,8.038
ma_cross_20_100_short,GOOGL,EQUITY_US,2021-08-12 to 2026-08-12,1255,245.78,28.17,0.524,1.418,0.389,-72.49,1020,112.66,0.001,19,0.632,27.98,-13.78,3.495,126170.51,2305.3,45.15,0.397,63178.33,6.318
ma_cross_20_100_short,META,EQUITY_US,2021-08-12 to 2026-08-12,1255,506.78,43.43,-0.477,-0.346,0.337,-128.68,1305,981.9,0.004,12,0.5,113.72,-29.67,3.835,420320.89,3650.0,-482.6,-0.491,39097.79,3.91
ma_cross_20_100_short,TSLA,EQUITY_US,2021-08-12 to 2026-08-12,1255,140.44,19.18,0.538,0.874,0.244,-78.61,1179,73.39,0.002,23,0.565,27.61,-25.3,1.415,45615.42,1904.3,25.6,0.341,76938.64,7.694
ma_cross_20_100_short,JPM,EQUITY_US,2021-08-12 to 2026-08-12,1255,174.63,22.39,0.511,1.217,0.45,-49.74,1169,68.32,0.0,18,0.722,22.78,-14.89,3.958,122325.59,2433.3,21.0,0.299,59738.25,5.974
ma_cross_20_100_short,RELIANCE.NS,EQUITY_IN,2021-08-12 to 2026-08-13,1240,52.03,8.73,0.565,0.905,0.925,-9.44,487,17.63,0.002,20,0.55,10.89,-7.52,1.7,23689.04,2191.2,0.0,0.0,79726.31,7.973
ma_cross_20_100_short,HDFCBANK.NS,EQUITY_IN,2021-08-12 to 2026-08-13,1240,47.35,8.06,0.455,0.502,0.29,-27.78,377,23.49,0.002,18,0.667,9.4,-17.0,1.1,5660.74,2434.7,0.0,0.0,71501.75,7.15
ma_cross_20_100_short,INFY.NS,EQUITY_IN,2021-08-12 to 2026-08-13,1240,-21.37,-4.69,-0.018,-0.021,-0.095,-49.63,1063,30.2,0.005,24,0.375,10.44,-9.2,0.681,-18344.93,1826.0,0.0,0.0,96175.42,9.618
ma_cross_20_100_short,TCS.NS,EQUITY_IN,2021-08-12 to 2026-08-13,1240,-56.88,-15.48,-0.447,-0.348,-0.217,-71.19,826,27.86,0.007,23,0.565,7.02,-13.53,0.659,-20071.53,1905.4,0.0,0.0,92063.14,9.206
ma_cross_20_100_short,SPY,ETF,2021-08-12 to 2026-08-13,1256,96.28,14.43,0.56,1.053,0.401,-35.96,1188,31.47,0.001,21,0.619,13.8,-6.34,3.569,61479.64,2086.9,3.57,0.099,89988.59,8.999
ma_cross_20_100_short,QQQ,ETF,2021-08-12 to 2026-08-12,1255,120.78,17.17,0.505,1.074,0.342,-50.17,1288,49.64,0.001,15,0.6,23.78,-9.6,3.75,104636.48,2920.0,11.16,0.211,63514.92,6.351
ma_cross_20_100_short,GLD,ETF,2021-08-12 to 2026-08-12,1255,266.86,29.69,0.486,6.075,2.783,-10.67,306,94.99,0.0,10,0.6,47.89,-5.34,14.095,266957.61,4380.0,32.27,0.333,41453.53,4.145
ma_cross_20_100_short,TLT,ETF,2021-08-12 to 2026-08-12,1255,-85.62,-32.15,-0.434,-0.386,-0.37,-86.97,1719,52.45,0.0,22,0.409,4.5,-9.41,0.333,-36806.86,1990.9,-36.67,-0.664,94400.86,9.44
ma_cross_20_100_short,BTC-USD,CRYPTO,2021-08-14 to 2026-08-13,1826,207.07,25.17,0.331,0.75,0.197,-127.96,974,256.55,0.311,23,0.565,37.15,-28.45,1.692,85577.65,1903.3,0.0,0.0,110063.14,11.006
