cagr,ann_return,ann_vol,sharpe,t_hac,hit_rate,turnover,xgmv,max_dd,calmar,worst_3m_sharpe,min_ann_sharpe,cvar_5,info_ratio,t_hac_vs_passive,corr_vs_passive,days,model,seconds,windows,avg_val_sharpe
-0.0778,-0.0809,0.0091,-8.886,-7.18,0.239,196.6,98.3,-0.0789,-0.986,-18.01,-13.45,-0.00203,-1.775,-2.02,0.38,272,ar1x,20.8,3,0.916
-0.0442,-0.0451,0.011,-4.119,-3.55,0.445,92.2,46.1,-0.0418,-1.057,-7.37,-5.69,-0.00226,-1.52,-1.72,0.434,272,dlinear,19.1,3,0.675
-0.044,-0.0449,0.0109,-4.129,-3.53,0.445,92.9,46.4,-0.0412,-1.067,-7.48,-5.93,-0.00225,-1.518,-1.72,0.426,272,nlinear,16.1,3,0.787
-0.2055,-0.2299,0.0101,-22.781,-19.25,0.015,319.5,159.8,-0.2144,-0.959,-38.74,-34.11,-0.00258,-2.917,-3.29,0.454,272,lstm,31.0,3,0.647
-0.322,-0.3883,0.0096,-40.426,-34.64,0.004,469.6,234.8,-0.3382,-0.952,-61.11,-52.71,-0.00301,-4.075,-4.6,0.346,272,xlstm,180.8,3,0.672
-0.0591,-0.0609,0.012,-5.057,-4.42,0.346,111.1,55.5,-0.0563,-1.051,-7.85,-5.81,-0.00236,-1.643,-1.86,0.427,272,vlstm,337.7,3,0.715
-0.3158,-0.3791,0.0079,-47.717,-42.08,0.0,474.8,237.4,-0.3336,-0.946,-68.72,-56.15,-0.00266,-3.968,-4.48,0.242,272,patchtst,41.3,3,1.115
-0.2896,-0.3417,0.01,-34.312,-25.93,0.004,446.1,223.0,-0.3044,-0.952,-73.29,-42.03,-0.00284,-3.717,-4.21,0.302,272,itransformer,365.6,3,0.672
-0.2156,-0.2427,0.0116,-20.985,-14.46,0.026,326.8,163.4,-0.2249,-0.959,-41.94,-23.25,-0.00285,-2.96,-3.35,0.205,272,lpatchtst,884.6,3,0.801
-0.0437,-0.0446,0.011,-4.072,-3.5,0.452,91.1,45.6,-0.0413,-1.059,-7.37,-5.69,-0.00226,-1.517,-1.72,0.436,272,tft,362.4,3,0.688
-0.1793,-0.1975,0.0099,-20.027,-16.41,0.004,267.2,133.6,-0.1854,-0.967,-42.74,-28.56,-0.00243,-2.632,-3.02,0.269,272,mamba2,96.9,3,1.003
-0.049,-0.0501,0.0116,-4.322,-3.63,0.449,95.7,47.9,-0.0455,-1.077,-6.95,-6.34,-0.00251,-1.532,-1.73,0.223,272,pslstm,538.5,3,0.681
